,run0,wkt0,run1,wkt1,run2,wkt2,run3,wkt3,run4,wkt4,run5,wkt5,run6,wkt6,run7,wkt7,run8,wkt8,run9,wkt9,run10,wkt10,run11,wkt11,run12,wkt12,run13,wkt13,run14,wkt14,run15,wkt15,run16,wkt16,run17,wkt17,run18,wkt18,run19,wkt19,run20,wkt20
0,0,0,5,0,13,0,25,0,35,0,41,0,51,0,68,0,75,0,79,0,88,0,104,0,115,0,122,0,135,1,144,1,151,1,176,1,195,1,208,1,221,3
0,0,0,7,1,12,1,14,1,34,1,40,1,48,1,56,1,59,1,66,1,76,1,86,1,99,1,112,1,130,1,138,1,146,2,158,2,171,3,180,3,194,4
0,0,0,5,0,12,0,16,2,21,2,22,3,27,3,29,4,29,5,35,5,44,6,46,6,53,7,56,7,65,8,67,9,67,10,67,10,67,10,67,10,67,10
0,0,0,10,0,14,0,24,0,33,0,46,0,68,0,75,1,88,1,104,2,115,2,118,4,118,4,118,4,118,4,118,4,118,4,118,4,118,4,118,4,118,4
0,0,0,10,0,18,0,30,0,34,0,43,0,51,0,63,0,80,0,86,0,94,0,100,0,109,1,114,1,126,1,143,1,151,1,167,1,177,1,186,1,197,1
0,0,0,11,0,30,0,39,1,44,1,48,1,57,1,64,1,71,1,74,3,78,3,83,3,91,4,97,4,104,4,114,4,128,4,142,4,156,6,171,6,178,7
0,0,0,5,0,10,0,16,1,19,1,28,2,35,2,40,2,46,2,56,2,61,2,69,2,85,2,89,2,92,2,101,2,114,2,118,4,130,5,138,5,149,5
0,0,0,1,0,20,0,22,0,29,0,35,1,41,1,43,2,61,2,64,2,70,2,73,3,79,3,86,3,97,3,102,3,105,5,119,5,124,6,130,7,154,7
0,0,0,7,0,7,1,12,1,14,1,24,1,32,1,40,2,46,2,48,2,59,2,69,2,72,3,82,3,93,3,102,4,106,4,116,4,123,6,136,7,147,8
0,0,0,3,0,5,0,15,0,26,1,33,2,45,2,52,2,61,2,70,3,75,3,79,3,86,5,89,5,93,6,99,6,101,7,108,8,113,8,120,8,130,8
0,0,0,2,0,14,0,17,1,25,1,32,1,36,2,40,2,47,2,52,4,57,5,60,6,63,7,67,7,71,8,76,8,80,8,85,8,89,9,94,9,99,9
0,0,0,7,1,11,1,12,2,25,2,33,2,39,2,53,2,61,2,69,3,72,4,82,4,93,4,106,4,111,4,123,5,130,5,146,5,164,5,175,5,184,8
0,0,0,9,0,17,0,20,1,29,2,31,2,44,2,45,2,50,2,53,3,60,3,65,3,70,3,82,3,89,5,94,6,99,6,110,6,122,6,135,6,146,7
0,0,0,10,0,19,0,34,0,44,0,48,2,59,2,65,2,67,3,72,3,79,3,82,3,89,4,98,4,107,4,117,4,131,4,136,5,144,5,155,6,178,7
0,0,0,7,0,12,0,20,0,28,0,34,0,45,0,53,0,55,0,57,1,65,1,70,1,83,2,85,2,97,2,113,2,122,2,134,3,146,3,161,3,176,3
0,0,0,3,0,6,1,12,1,19,1,24,1,35,1,40,2,43,2,48,2,51,2,68,2,73,2,86,2,98,2,100,3,105,5,116,5,123,5,142,6,148,8
0,0,0,5,0,15,0,24,0,42,0,56,0,68,0,74,1,79,2,89,2,101,2,107,2,118,2,124,2,132,3,136,3,139,4,152,4,166,5,170,8,176,9
0,0,0,4,1,8,1,22,1,30,1,38,1,47,1,54,1,58,2,66,2,76,2,82,2,87,3,94,3,103,3,115,3,127,3,135,3,143,3,150,3,167,3
0,0,0,3,0,8,0,13,0,21,0,31,0,47,0,51,1,56,2,61,2,68,2,79,2,80,5,83,5,87,5,92,5,100,6,105,7,107,8,111,9,112,10
0,0,0,6,0,11,0,13,1,30,1,39,1,45,1,54,2,61,2,70,2,77,2,84,3,90,3,107,3,118,4,123,5,127,6,138,6,144,6,155,6,166,7
0,0,0,2,0,4,0,8,0,15,1,21,1,27,1,32,1,37,2,41,2,54,2,62,2,78,2,87,2,106,2,120,2,137,2,146,3,157,3,171,3,182,3
0,0,0,7,1,24,1,33,1,37,2,42,2,45,2,57,2,66,2,75,2,81,2,85,3,94,4,104,4,106,4,110,6,123,7,129,7,137,8,148,8,152,9
0,0,0,7,0,8,1,15,2,16,3,23,3,29,3,39,3,52,3,61,3,71,3,76,3,80,5,82,5,91,5,102,5,113,5,131,6,134,8,151,9,153,10
0,0,0,2,0,11,0,13,0,19,0,28,1,32,1,35,2,37,3,40,3,40,5,46,6,51,7,66,7,75,7,84,7,84,8,88,9,88,10,88,10,88,10
0,0,0,2,1,11,1,15,1,21,1,25,2,32,2,36,2,40,2,49,2,59,2,69,2,76,3,96,3,103,3,119,3,132,3,136,5,145,5,155,5,178,5
0,0,0,6,0,7,1,11,1,16,1,22,1,23,2,27,2,33,2,38,3,41,4,44,4,52,4,58,4,65,4,76,5,87,5,98,6,109,6,122,6,126,8
0,0,0,5,0,13,0,25,0,35,0,39,0,42,0,45,0,57,0,66,0,70,0,79,0,88,1,91,1,109,1,111,2,122,2,143,2,155,3,164,4,175,4
0,0,0,5,0,16,0,25,0,40,0,43,0,60,0,70,0,73,1,79,1,81,1,96,1,107,2,109,2,114,3,123,4,128,4,137,4,145,5,162,5,176,8
0,0,0,12,0,15,0,25,0,39,0,52,0,67,0,77,0,90,0,95,0,107,0,127,0,137,1,140,1,150,2,167,2,174,2,186,3,198,3,203,4,211,5
0,0,0,2,0,13,1,22,1,32,1,39,1,46,1,51,1,57,1,71,1,80,1,85,2,93,3,103,3,110,4,114,5,122,5,126,5,130,5,143,6,156,8
0,0,0,5,0,21,0,24,0,27,1,37,1,47,1,58,1,61,1,71,1,82,1,95,1,104,2,108,2,121,2,133,3,140,3,147,3,163,3,170,4,174,6
0,0,0,2,0,6,0,15,0,16,0,28,0,29,0,42,0,46,0,51,0,60,0,71,1,75,2,83,2,92,2,97,2,106,3,108,5,118,5,120,7,145,7
0,0,0,1,0,7,0,13,1,15,2,18,2,26,2,37,2,44,2,51,2,57,2,59,3,65,3,71,3,85,3,93,3,104,3,112,3,127,3,140,6,147,8
0,0,0,1,0,8,0,15,0,29,0,43,0,58,0,65,2,71,2,77,3,83,3,104,3,113,3,120,3,130,4,142,4,155,5,164,5,172,7,188,7,192,9
0,0,0,7,0,11,1,16,2,28,2,30,3,35,4,35,4,37,4,44,5,45,6,50,6,56,6,61,6,63,7,68,7,73,7,79,7,84,7,98,8,112,8
0,0,0,6,0,12,0,16,0,29,0,39,0,42,1,51,1,57,1,64,2,75,2,77,2,87,3,97,3,109,3,117,3,127,3,130,4,139,4,148,4,163,5
0,0,0,6,2,14,2,21,2,33,2,48,2,60,2,69,2,75,2,84,2,90,3,103,3,113,3,123,3,135,3,148,4,153,4,168,4,172,5,183,5,203,5
