,run0,wkt0,run1,wkt1,run2,wkt2,run3,wkt3,run4,wkt4,run5,wkt5,run6,wkt6,run7,wkt7,run8,wkt8,run9,wkt9,run10,wkt10,run11,wkt11,run12,wkt12,run13,wkt13,run14,wkt14,run15,wkt15,run16,wkt16,run17,wkt17,run18,wkt18,run19,wkt19,run20,wkt20,target,chased
0,0,0,5,0,12,0,15,1,19,2,33,2,42,3,46,3,54,3,67,3,71,3,75,4,80,6,86,6,95,7,101,7,109,7,121,7,122,8,136,8,143,8,194,0
0,0,0,1,0,6,0,20,0,26,1,44,1,61,1,64,2,75,2,80,2,86,2,91,3,100,3,111,3,115,4,122,4,128,4,135,5,139,5,139,5,139,5,139,1
0,0,0,10,0,19,0,21,1,35,1,47,1,68,1,72,2,79,3,84,3,97,3,106,4,110,4,119,4,128,5,132,5,136,6,146,6,152,6,158,7,161,7,192,0
0,0,0,4,0,15,0,17,1,26,1,32,1,34,1,50,1,57,1,66,1,71,1,74,2,79,2,84,2,93,2,93,2,93,2,93,2,93,2,93,2,93,2,93,1
0,0,0,10,1,19,1,28,1,32,2,39,2,41,5,42,5,45,5,50,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,60,5,59,1
0,0,0,9,0,34,0,51,0,56,1,59,2,65,3,75,3,85,3,96,3,102,3,102,3,102,3,102,3,102,3,102,3,102,3,102,3,102,3,102,3,102,3,98,1
0,0,0,4,0,9,1,12,2,16,2,24,3,26,4,33,4,38,5,43,7,51,7,56,7,59,8,70,8,77,9,81,9,82,10,82,10,82,10,82,10,82,10,223,0
0,0,0,9,0,16,0,27,0,37,0,47,0,63,1,69,1,84,1,97,1,110,1,115,2,127,2,141,2,152,2,165,3,176,3,186,3,191,4,198,4,207,4,241,0
0,0,0,8,0,21,1,26,1,36,1,48,1,55,1,59,1,71,1,78,1,86,1,95,1,100,1,111,1,115,1,128,1,132,1,132,1,132,1,132,1,132,1,130,1
0,0,0,10,0,11,0,22,0,27,0,37,1,40,1,46,1,54,1,69,2,76,3,80,3,94,3,104,3,109,4,118,4,126,4,136,4,155,4,163,5,166,5,166,1
0,0,0,6,0,16,1,18,2,21,2,23,3,26,3,33,3,34,3,35,3,38,3,49,3,64,4,68,4,77,4,81,4,87,4,90,5,103,5,112,5,112,5,111,1
0,0,0,6,0,13,1,28,2,42,2,48,3,53,3,60,3,65,3,76,3,87,3,99,3,102,4,114,4,127,4,142,4,152,4,154,4,164,4,168,4,168,4,167,1
0,0,0,9,1,13,1,25,1,31,2,50,2,52,2,57,2,68,2,75,2,83,3,90,3,99,4,110,4,130,4,134,5,147,6,168,6,181,6,190,7,202,7,209,0
0,0,0,5,0,14,0,19,1,35,1,57,1,73,1,82,1,98,1,110,1,114,2,121,2,126,3,134,3,139,3,159,3,176,3,186,3,192,5,198,7,217,7,215,1
0,0,0,2,0,14,0,18,2,21,2,34,2,39,2,46,2,61,2,65,3,67,4,68,4,90,5,94,5,98,7,101,7,105,8,106,8,113,9,116,9,116,9,183,0
0,0,0,9,1,18,1,25,1,31,2,39,2,45,2,52,2,61,2,68,2,73,2,79,2,83,2,91,2,117,2,121,2,130,3,134,3,138,3,138,3,138,3,136,1
0,0,0,5,0,8,0,18,0,25,0,35,0,45,0,55,0,66,0,72,1,77,1,81,1,90,1,95,1,107,1,121,1,139,1,152,1,152,1,152,1,152,1,148,1
0,0,0,10,0,20,0,29,0,37,0,47,0,60,0,83,0,97,0,108,0,130,0,147,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,155,1
0,0,0,2,1,11,2,21,2,34,2,43,2,55,2,62,2,70,3,75,3,81,3,89,3,103,3,114,3,119,4,123,4,133,4,142,5,155,6,158,6,162,6,159,1
0,0,0,6,0,12,0,13,0,20,1,32,1,45,1,56,1,69,1,82,1,93,1,102,2,111,2,119,2,127,2,132,3,140,4,148,6,154,7,162,9,165,10,179,0
0,0,0,6,0,16,0,17,1,25,2,29,3,38,3,43,3,47,3,63,3,69,3,75,3,90,3,98,3,102,3,110,3,121,3,129,3,132,3,138,3,138,3,138,1
